ID	Sample5_RIBO	Sample10_RIBO	Sample15_RIBO	Sample20_RIBO	Sample1_RIBO	Sample6_RIBO	Sample11_RIBO	Sample16_RIBO	Sample5_RNA	Sample10_RNA	Sample15_RNA	Sample20_RNA	Sample1_RNA	Sample6_RNA	Sample11_RNA	Sample16_RNA
ENSG00000240891	24	50	32	14	14	28	9	7	47	94	38	35	26	39	14	35
ENSG00000144824	218	316	588	266	610	547	218	723	1012	1377	1612	1279	2698	2020	4209	5113
ENSG00000144827	342	596	630	432	339	565	148	233	890	1648	918	1265	990	1426	1181	998
ENSG00000144834	6	11	5	0	5	9	1	0	51	25	6	5	27	13	6	2
ENSG00000176040	0	5	6	1	0	2	1	1	14	15	9	12	15	16	26	21
ENSG00000114529	34	109	96	79	50	98	30	56	233	362	256	332	252	323	319	405
ENSG00000174500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172139	0	0	1	0	1	0	0	1	6	6	7	18	15	11	22	19
ENSG00000091972	1428	993	1051	830	1269	1080	518	933	3200	2750	2061	2356	4740	2769	3494	3498
ENSG00000186265	0	0	0	0	1	0	1	1	10	1	0	2	14	3	6	6
ENSG00000144848	431	687	814	482	521	546	174	330	1889	2706	2550	2120	2116	2310	2752	2648
ENSG00000138459	277	335	428	340	369	415	128	273	1279	2075	1522	1668	1901	1988	2692	2481
ENSG00000091986	30668	59889	61275	37170	67962	94590	20848	42791	112949	153776	133698	110711	112063	157012	125965	134526
ENSG00000206531	0	0	0	3	0	0	0	1	1	2	0	10	2	1	0	5
ENSG00000163606	1	0	1	0	0	0	0	1	2	3	4	6	5	4	5	7
ENSG00000163607	216	304	389	210	290	356	120	149	510	812	561	540	660	803	818	746
ENSG00000163608	336	467	564	325	405	418	147	236	1598	2289	1681	1693	1771	2121	2335	2128
ENSG00000144857	16	22	40	14	12	16	13	13	117	144	196	100	63	75	183	78
ENSG00000206530	7	4	1	0	0	3	0	1	1418	1960	1201	1739	881	1137	891	741
ENSG00000283241	7	4	1	0	0	3	0	1	1407	1954	1197	1733	876	1133	887	735
ENSG00000163611	125	195	255	143	93	151	38	49	875	1491	1005	1132	764	1118	867	679
ENSG00000072858	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176542	10	10	21	10	21	21	3	14	288	328	257	331	466	506	652	566
ENSG00000121579	1008	1335	1667	740	955	1240	372	591	906	1480	919	901	983	1179	1479	1470
ENSG00000114573	2458	3238	4647	3384	3090	3444	1213	2639	2561	3518	2525	3414	2628	3069	3593	5005
